Prompt,Response
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Stomach cramps ,  Headache ,  Fatigue ,  Body aches ,  Feverish ,  Rashes ,  Joint pain ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Stomach cramps ,  Muscle aches ,  Fatigue ,  Dehydration ,  Body aches ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Vomiting ,  Stomach cramps ,  Muscle aches ,  Fatigue ,  Abdominal pain ,  Loss of appetite ,  Dehydration ,  Chills ,  Rashes ,  Fever ,  Irritability ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Fever ,  Rash on hands and feet ,  Loss of appetite ,  Irritability ,  Sore throat ,  Mouth sores ,  Fatigue ,  Mild fever ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Diarrhea ,  Vomiting ,  Headache ,  Fatigue ,  Dehydration ,  Body aches ,  Feverish ,  Rashes ,  General discomfort ,  Chills. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Diarrhea ,  Vomiting ,  Bloody stools ,  Headache ,  Loss of appetite ,  Muscle aches ,  Feverish ,  Rashes ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Nausea ,  Vomiting ,  Headache ,  Dehydration ,  Loss of appetite ,  Rashes ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Eat bland foods, avoid strong odors. Medication: Ondansetron 4mg as needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Diarrhea ,  Nausea ,  Bloody stools ,  Stomach cramps ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  Feverish ,  General discomfort ,  Chills ,  Joint pain. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Runny nose ,  Rash ,  Fatigue ,  Cough ,  Abdominal pain ,  Rashes ,  Chills ,  Feverish ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Low-grade fever ,  Headache ,  Abdominal pain ,  Dehydration ,  Body aches ,  Rashes ,  General discomfort ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Diarrhea ,  Vomiting ,  Headache ,  Dehydration ,  Muscle aches ,  Body aches ,  Rashes ,  General discomfort ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Stomach cramps ,  Low-grade fever ,  Muscle aches ,  Nausea ,  Headache ,  Abdominal pain ,  Dehydration ,  Chills ,  Sweating ,  General discomfort ,  Fever ,  Irritability. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Mumps and is experiencing symptoms like ""Swollen ,   painful salivary glands"" ,  Fever ,  Trouble chewing ,  Fever ,  Muscle aches ,  Tiredness ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Diarrhea ,  Nausea ,  Vomiting ,  Bloody stools ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  Feverish ,  Rashes ,  General discomfort ,  Chills ,  Joint pain. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Vomiting ,  Bloody stools ,  Headache ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Body aches ,  Feverish ,  General discomfort ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Low-grade fever ,  Muscle aches ,  Nausea ,  Fatigue ,  Abdominal pain ,  Loss of appetite ,  Sweating ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Vomiting ,  Bloody stools ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  Feverish ,  Rashes ,  General discomfort ,  Chills ,  Joint pain ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Stomach cramps ,  Nausea ,  Headache ,  Abdominal pain ,  Loss of appetite ,  Dehydration ,  Chills ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Vomiting ,  Fatigue ,  Dehydration ,  Rashes ,  Joint pain ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?",Consult a doctor for an accurate diagnosis and treatment plan.
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Rash ,  Irritability ,  Swollen lymph nodes ,  Headache ,  Cough ,  Loss of appetite ,  Abdominal pain ,  Chills ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Sore throat ,  Headache ,  Diarrhea ,  Loss of appetite ,  Abdominal pain ,  Body aches ,  Chills ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Irritability ,  Cough ,  Red eyes ,  Vomiting ,  Loss of appetite ,  Abdominal pain ,  Body aches ,  Rashes ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Rash ,  Irritability ,  Fatigue ,  Sore throat ,  Headache ,  Red eyes ,  Diarrhea ,  Vomiting ,  Loss of appetite ,  Chills ,  Feverish. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Stomach cramps ,  Low-grade fever ,  Nausea ,  Fatigue ,  Abdominal pain ,  Dehydration ,  Sweating ,  Body aches ,  General discomfort ,  Fever ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Runny nose ,  Irritability ,  Fatigue ,  Swollen lymph nodes ,  Sore throat ,  Vomiting ,  Body aches ,  Rashes ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Vomiting ,  Stomach cramps ,  Nausea ,  Abdominal pain ,  Loss of appetite ,  Dehydration ,  Chills ,  Sweating ,  Rashes ,  Fever ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Headache ,  Fatigue ,  Abdominal pain ,  Loss of appetite ,  Dehydration ,  Sweating ,  Body aches ,  Rashes ,  General discomfort ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Fever ,  Sores in mouth ,  Rash on hands and feet ,  Loss of appetite ,  Sore throat ,  Red spots ,  Blisters ,  General discomfort ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Vomiting ,  Stomach cramps ,  Low-grade fever ,  Chills ,  Sweating ,  Rashes ,  General discomfort ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like Irritability ,  Fatigue ,  Headache ,  Red eyes ,  Loss of appetite ,  Rashes ,  Chills ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Vomiting ,  Low-grade fever ,  Muscle aches ,  Nausea ,  Headache ,  Fatigue ,  Loss of appetite ,  Dehydration ,  Fever ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Vomiting ,  Headache ,  Chills ,  Body aches ,  General discomfort ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Fatigue ,  Sore throat ,  Red eyes ,  Diarrhea ,  Vomiting ,  Loss of appetite ,  Abdominal pain ,  Rashes ,  Chills ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Rash ,  Irritability ,  Cough ,  Diarrhea ,  Vomiting ,  Feverish ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Nausea ,  Stomach cramps ,  Headache ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  Body aches ,  Feverish ,  General discomfort ,  Joint pain ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Rash ,  Fatigue ,  Sore throat ,  Red eyes ,  Diarrhea ,  Abdominal pain ,  Body aches ,  Feverish ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Bloody stools ,  Headache ,  Fatigue ,  Loss of appetite ,  Body aches ,  General discomfort ,  Joint pain ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Ibuprofen 400mg or Acetaminophen 500mg."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Rash on hands and feet ,  Loss of appetite ,  Irritability ,  Mouth sores ,  Red spots ,  Blisters ,  Fatigue ,  Headache ,  Mild fever ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Stomach cramps ,  Low-grade fever ,  Nausea ,  Headache ,  Abdominal pain ,  Chills ,  Sweating ,  Rashes ,  Irritability ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Stomach cramps ,  Muscle aches ,  Nausea ,  Loss of appetite ,  Chills ,  Sweating ,  General discomfort ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Low-grade fever ,  Nausea ,  Headache ,  Abdominal pain ,  Loss of appetite ,  Sweating ,  Body aches ,  Rashes ,  Fever ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Vomiting ,  Headache ,  Body aches ,  Rashes ,  Joint pain ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Ibuprofen 400mg or Acetaminophen 500mg."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Stomach cramps ,  Low-grade fever ,  Nausea ,  Headache ,  Fatigue ,  Abdominal pain ,  Dehydration ,  Chills ,  Body aches ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Scarlet Fever and is experiencing symptoms like Swollen glands ,  Fever ,  Red rash on the body ,  Strawberry tongue ,  Pale skin around lips ,  Fever (100.4�F / 38.0�C or higher) ,  Sore and red throat with patches ,  ""Tender ,   enlarged neck glands"" ,  Nausea or vomiting ,  Abdominal pain ,  Headache and body aches ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
